title,price,rating,availability,source_url,listing_page,upc,category,price_excl_tax,price_incl_tax,tax,available_units,reviews
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,13,dc6f688b82e42a5b,Fantasy,44.73,44.73,0.0,14,0
The Darkest Lie,35.35,5,In stock,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html,13,6edacfd1f8ebb9eb,Young Adult,35.35,35.35,0.0,14,0
The Dovekeepers,48.78,1,In stock,https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html,13,3d76bc83c6b644c9,Add a comment,48.78,48.78,0.0,14,0
The First Hostage (J.B. Collins #2),25.85,3,In stock,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html,13,a86972014275e072,Fiction,25.85,25.85,0.0,14,0
The Guilty (Will Robie #4),13.82,2,In stock,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html,13,847935fc68707426,Thriller,13.82,13.82,0.0,14,0
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,In stock,https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html,13,ddc8340dabc8641b,Food and Drink,28.77,28.77,0.0,14,0
The Hidden Oracle (The Trials of Apollo #1),52.26,2,In stock,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html,13,992974ba6a0536ea,Fantasy,52.26,52.26,0.0,14,0
The Immortal Life of Henrietta Lacks,40.67,2,In stock,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html,13,f72f61ad6a5f12ed,Add a comment,40.67,40.67,0.0,14,0
The Last Mile (Amos Decker #2),54.21,2,In stock,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,13,3bc89353f7e3a3cc,Mystery,54.21,54.21,0.0,14,0
The Literature Book (Big Ideas Simply Explained),17.43,3,In stock,https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html,13,4881cc53f6c8892f,Nonfiction,17.43,17.43,0.0,14,0
The Loney,23.4,1,In stock,https://books.toscrape.com/catalogue/the-loney_756/index.html,13,2d88a31f325dfd3b,Horror,23.4,23.4,0.0,14,0
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,In stock,https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html,13,f21effc079a2b38a,Humor,44.07,44.07,0.0,14,0
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,In stock,https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html,13,4e812d32d64e2431,Psychology,10.4,10.4,0.0,14,0
The Marriage of Opposites,28.08,4,In stock,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,13,52cf2a5933ec5d8f,Historical Fiction,28.08,28.08,0.0,14,0
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,In stock,https://books.toscrape.com/catalogue/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html,13,6bdd909329435e80,Default,16.88,16.88,0.0,14,0
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,14,71e36f33981ddb74,Sequential Art,38.39,38.39,0.0,14,0
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,In stock,https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,14,132ec5e8c984adef,Nonfiction,21.95,21.95,0.0,14,0
Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html,14,02b74068fa98d8a4,Humor,11.83,11.83,0.0,14,0
Once Was a Time,18.28,2,In stock,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html,14,e34efcc824685332,Childrens,18.28,18.28,0.0,14,0
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,In stock,https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html,14,8ecf0356a3878811,Self Help,52.15,52.15,0.0,14,0
Pet Sematary,10.56,3,In stock,https://books.toscrape.com/catalogue/pet-sematary_726/index.html,14,af58a74e4b2a23a0,Horror,10.56,10.56,0.0,14,0
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,14,aa35446aab16017f,Poetry,50.89,50.89,0.0,14,0
Rain Fish,23.57,3,In stock,https://books.toscrape.com/catalogue/rain-fish_728/index.html,14,a6454e329f872b78,Childrens,23.57,23.57,0.0,14,0
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,14,31e2e2d9cca3778f,Sequential Art,25.48,25.48,0.0,14,0
Robin War,47.82,3,In stock,https://books.toscrape.com/catalogue/robin-war_730/index.html,14,85b2176b3b194030,Sequential Art,47.82,47.82,0.0,14,0
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,14,f9705c362f070608,Travel,48.87,48.87,0.0,14,0
Shtum,55.84,4,In stock,https://books.toscrape.com/catalogue/shtum_733/index.html,14,830fb3967c74866d,Fiction,55.84,55.84,0.0,14,0
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,14,394f6d30cafc3edb,Sequential Art,35.43,35.43,0.0,14,0
Someone Like You (The Harrisons #2),52.79,5,In stock,https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html,14,a278db6b2b09cf9f,Contemporary,52.79,52.79,0.0,14,0
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,14,3edcccc4f341fb1a,Science,44.74,44.74,0.0,14,0
Steve Jobs,39.5,5,In stock,https://books.toscrape.com/catalogue/steve-jobs_737/index.html,14,95019eac1c0a052f,Default,39.5,39.5,0.0,14,0
Still Life with Bread Crumbs,26.41,3,In stock,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html,14,fe44cc816576c652,Fiction,26.41,26.41,0.0,14,0
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,14,ac8e3949d284e9a9,Sequential Art,11.89,11.89,0.0,14,0
Swell: A Year of Waves,45.58,1,In stock,https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html,14,4c8b7540409da4ac,Nonfiction,45.58,45.58,0.0,14,0
salt.,46.78,4,In stock,https://books.toscrape.com/catalogue/salt_731/index.html,14,86cbddb61ea78bb7,Poetry,46.78,46.78,0.0,14,0
"Hush, Hush (Hush, Hush #1)",47.02,3,In stock,https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html,15,6b6cd77fbc91b7a6,Default,47.02,47.02,0.0,14,0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,15,fbb21a2f71f4d981,Humor,14.75,14.75,0.0,14,0
I Am Pilgrim (Pilgrim #1),10.6,4,In stock,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html,15,aeff7b87a8e83ebb,Fiction,10.6,10.6,0.0,14,0
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,In stock,https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,15,b8a8ff84233f0570,Humor,25.98,25.98,0.0,14,0
Island of Dragons (Unwanteds #7),29.65,1,In stock,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html,15,2b52334fab158861,Fantasy,29.65,29.65,0.0,14,0
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,In stock,https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html,15,245e6bf08b8d2955,Food and Drink,19.55,19.55,0.0,14,0
Lady Midnight (The Dark Artifices #1),16.28,5,In stock,https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html,15,708345c9897fd7c5,Default,16.28,16.28,0.0,14,0
Let It Out: A Journey Through Journaling,26.79,5,In stock,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html,15,1174156c4a0eccaa,Nonfiction,26.79,26.79,0.0,14,0
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,In stock,https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html,15,17fb5a88180f9904,Default,46.91,46.91,0.0,14,0
Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,15,24af96df0bafb925,Nonfiction,29.14,29.14,0.0,14,0
Love Is a Mix Tape (Music #1),18.03,1,In stock,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,15,adb5f51c2e2ab13f,Music,18.03,18.03,0.0,14,0
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,15,a10c7515834240f3,Sequential Art,51.51,51.51,0.0,14,0
Luckiest Girl Alive,49.83,3,In stock,https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html,15,d512871626a5e588,Default,49.83,49.83,0.0,14,0
Luis Paints the World,53.95,3,In stock,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,15,5b43cae640f2338a,Childrens,53.95,53.95,0.0,14,0
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,15,b96fc7a0ea7d4b45,Business,38.85,38.85,0.0,14,0
More Than Music (Chasing the Dream #1),37.61,2,In stock,https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html,15,47d47155e89c8be7,Add a comment,37.61,37.61,0.0,14,0
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html,15,caa2e5b3fb1b2d4c,Fiction,28.9,28.9,0.0,14,0
My Kind of Crazy,40.36,1,In stock,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html,15,137b0b2775701e11,Young Adult,40.36,40.36,0.0,14,0
My Mrs. Brown,24.48,3,In stock,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html,15,cc82685d9f49bc2c,Fiction,24.48,24.48,0.0,14,0
My Name Is Lucy Barton,41.56,1,In stock,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,15,727bf2b86b19ad88,Fiction,41.56,41.56,0.0,14,0
Cometh the Hour (The Clifton Chronicles #6),25.01,3,In stock,https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html,16,28cf0d1c51b491e5,Fiction,25.01,25.01,0.0,14,0
Crazy Love: Overwhelmed by a Relentless God,47.72,2,In stock,https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html,16,4b9d9cfe0f435788,Christian,47.72,47.72,0.0,14,0
Daily Fantasy Sports,36.58,1,In stock,https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html,16,0e94a089328be4bc,Default,36.58,36.58,0.0,14,0
Dear Mr. Knightley,11.21,5,In stock,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html,16,94a958ea126cdcd5,Fiction,11.21,11.21,0.0,14,0
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,In stock,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,16,3c6fe637a0180b01,Fantasy,37.51,37.51,0.0,14,0
Doctor Sleep (The Shining #2),40.12,2,In stock,https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html,16,bf5de316a5e9a4ab,Horror,40.12,40.12,0.0,14,0
Don't Get Caught,55.35,1,In stock,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html,16,ad2887ce04583910,Young Adult,55.35,55.35,0.0,14,0
"Eat Fat, Get Thin",54.07,2,In stock,https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html,16,047dfa57ba0bf638,Health,54.07,54.07,0.0,14,0
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,In stock,https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html,16,a01f6d368ef64dc5,Nonfiction,51.75,51.75,0.0,14,0
Eight Hundred Grapes,14.39,4,In stock,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html,16,1d6dd0c87d90fe92,Fiction,14.39,14.39,0.0,14,0
El Deafo,57.62,5,In stock,https://books.toscrape.com/catalogue/el-deafo_691/index.html,16,27c5968fe43cc06e,Sequential Art,57.62,57.62,0.0,14,0
Eligible (The Austen Project #4),27.09,3,In stock,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html,16,9eaf58b03a2779cc,Fiction,27.09,27.09,0.0,14,0
Every Last Word,46.47,3,In stock,https://books.toscrape.com/catalogue/every-last-word_693/index.html,16,a2bd4ca82d908442,Default,46.47,46.47,0.0,14,0
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,In stock,https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html,16,ac4dde0d1be05de0,Nonfiction,15.06,15.06,0.0,14,0
Feathers: Displays of Brilliant Plumage,49.05,3,In stock,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html,16,9194ae88379dbf1a,Art,49.05,49.05,0.0,14,0
Glory over Everything: Beyond The Kitchen House,45.84,3,In stock,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,16,de4b403cb629a29f,Historical Fiction,45.84,45.84,0.0,14,0
God: The Most Unpleasant Character in All Fiction,30.03,5,In stock,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,16,eec424a84c9e4c68,Religion,30.03,30.03,0.0,14,0
Greek Mythic History,10.23,5,In stock,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html,16,f201f263d8c23f97,Default,10.23,10.23,0.0,14,0
Hamilton: The Revolution,58.79,3,In stock,https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html,16,afa829857f82f99e,Nonfiction,58.79,58.79,0.0,14,0
Hold Your Breath (Search and Rescue #1),28.82,1,In stock,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html,16,0b165bd4b9f42fd5,Romance,28.82,28.82,0.0,14,0
Angels & Demons (Robert Langdon #1),51.48,3,In stock,https://books.toscrape.com/catalogue/angels-demons-robert-langdon-1_661/index.html,17,ad41c24ccac0c7ce,Default,51.48,51.48,0.0,14,0
Angels Walking (Angels Walking #1),34.2,2,In stock,https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html,17,1fbb5f786e53a0ce,Add a comment,34.2,34.2,0.0,14,0
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,In stock,https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html,17,41164b8ac02a2c42,Young Adult,58.14,58.14,0.0,14,0
Art Ops Vol. 1,48.8,3,In stock,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html,17,ffdc825785c0ede8,Sequential Art,48.8,48.8,0.0,14,0
Balloon Animals,17.03,3,In stock,https://books.toscrape.com/catalogue/balloon-animals_665/index.html,17,9b65f676984c9f0c,Fiction,17.03,17.03,0.0,14,0
Barefoot Contessa Back to Basics,28.01,1,In stock,https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html,17,999912e63a3262ae,Food and Drink,28.01,28.01,0.0,14,0
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,In stock,https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html,17,0e0da9192a025efc,Food and Drink,50.62,50.62,0.0,14,0
Batman: Europa,32.01,2,In stock,https://books.toscrape.com/catalogue/batman-europa_668/index.html,17,bf68dcb5fad3cc8c,Sequential Art,32.01,32.01,0.0,14,0
Brain on Fire: My Month of Madness,49.32,5,In stock,https://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html,17,a80f66b254fe9eb3,Nonfiction,49.32,49.32,0.0,14,0
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,In stock,https://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html,17,16ef91b9d827859c,Nonfiction,37.8,37.8,0.0,14,0
Carrie,46.23,2,In stock,https://books.toscrape.com/catalogue/carrie_671/index.html,17,5f22418922fa728b,Default,46.23,46.23,0.0,14,0
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,In stock,https://books.toscrape.com/catalogue/carry-on-warrior-thoughts-on-life-unarmed_672/index.html,17,1b0fc9f777cad045,Default,31.85,31.85,0.0,14,0
Catching Jordan (Hundred Oaks),50.83,3,In stock,https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html,17,e2e7b683b4c15b7d,Young Adult,50.83,50.83,0.0,14,0
Cell,20.29,4,In stock,https://books.toscrape.com/catalogue/cell_674/index.html,17,bfbb54bc8cdeed2b,Add a comment,20.29,20.29,0.0,14,0
City of Ashes (The Mortal Instruments #2),47.27,1,In stock,https://books.toscrape.com/catalogue/city-of-ashes-the-mortal-instruments-2_675/index.html,17,8a6ec2761f91dad2,Default,47.27,47.27,0.0,14,0
City of Bones (The Mortal Instruments #1),43.28,1,In stock,https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html,17,5b987e54ee72525c,Default,43.28,43.28,0.0,14,0
City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock,https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html,17,1e264c677d4ee4ae,Default,11.23,11.23,0.0,14,0
City of Glass (The Mortal Instruments #3),56.02,4,In stock,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html,17,966ebb738e0f9d9b,Fantasy,56.02,56.02,0.0,14,0
Clockwork Angel (The Infernal Devices #1),44.14,1,In stock,https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html,17,42b0c50fc44140ec,Default,44.14,44.14,0.0,14,0
Code Name Verity (Code Name Verity #1),22.13,4,In stock,https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html,17,33a3e0e3ffde0dcd,Add a comment,22.13,22.13,0.0,14,0
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,In stock,https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html,18,4be9d1910f8a4e80,Nonfiction,27.06,27.06,0.0,13,0
1491: New Revelations of the Americas Before Columbus,21.8,3,In stock,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html,18,6e8e5626ac4d279e,History,21.8,21.8,0.0,14,0
A Brush of Wings (Angels Walking #3),55.51,1,In stock,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html,18,01a177623cce9596,Add a comment,55.51,55.51,0.0,14,0
A Distant Mirror: The Calamitous 14th Century,14.58,3,In stock,https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html,18,d5e0526e1ab682a3,History,14.58,14.58,0.0,14,0
A Man Called Ove,39.72,1,In stock,https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html,18,8682c03de6a844ff,Fiction,39.72,39.72,0.0,14,0
A People's History of the United States,40.79,2,In stock,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html,18,1ad06aed9349af46,Add a comment,40.79,40.79,0.0,14,0
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,In stock,https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,18,c1379d3744f1dd2c,Add a comment,56.48,56.48,0.0,14,0
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,18,63ee5bc46066a8a8,Mystery,16.73,16.73,0.0,14,0
A Time of Torment (Charlie Parker #14),48.35,5,In stock,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,18,4416c474713ec1f5,Mystery,48.35,48.35,0.0,14,0
Abstract City,56.37,5,In stock,https://books.toscrape.com/catalogue/abstract-city_658/index.html,18,cf1aa2fc02a7d1e0,Nonfiction,56.37,56.37,0.0,14,0
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,In stock,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,18,5319169a72714c62,Sequential Art,10.9,10.9,0.0,14,0
All the Light We Cannot See,29.87,5,In stock,https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html,18,39861fc1c0845d15,Historical,29.87,29.87,0.0,14,0
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,In stock,https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html,18,8bbd7df8a324f31d,Food and Drink,11.53,11.53,0.0,13,0
Rook,37.86,4,In stock,https://books.toscrape.com/catalogue/rook_647/index.html,18,44d97b6707dae3f0,Add a comment,37.86,37.86,0.0,13,0
Searching for Meaning in Gailana,38.73,1,In stock,https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html,18,2f0213137a80d485,Fantasy,38.73,38.73,0.0,13,0
The Silent Sister (Riley MacPherson #1),46.29,5,In stock,https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html,18,ce1ae197ada2aec4,Fiction,46.29,46.29,0.0,12,0
The Star-Touched Queen,32.3,5,In stock,https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html,18,4a7a25be293ad678,Fantasy,32.3,32.3,0.0,12,0
"The Three Searches, Meaning, and the Story",13.33,3,In stock,https://books.toscrape.com/catalogue/the-three-searches-meaning-and-the-story_649/index.html,18,ac5e0d3938caf686,Default,13.33,13.33,0.0,13,0
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,In stock,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html,18,148715df5a02ea5e,Science,37.55,37.55,0.0,12,0
Will You Won't You Want Me?,13.86,3,In stock,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html,18,077b635ff2afc578,Womens Fiction,13.86,13.86,0.0,12,0
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,In stock,https://books.toscrape.com/catalogue/how-to-speak-golf-an-illustrated-guide-to-links-lingo_621/index.html,19,b978c9852cde91bd,Default,58.32,58.32,0.0,12,0
"Love, Lies and Spies",20.55,2,In stock,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,19,9546d537fbf99eb6,Historical Fiction,20.55,20.55,0.0,12,0
Most Wanted,35.28,3,In stock,https://books.toscrape.com/catalogue/most-wanted_623/index.html,19,c039f5aceb093537,Mystery,35.28,35.28,0.0,12,0
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,19,e7fe3bf2768602cf,Mystery,54.36,54.36,0.0,12,0
No Love Allowed (Dodge Cove #1),54.65,4,In stock,https://books.toscrape.com/catalogue/no-love-allowed-dodge-cove-1_625/index.html,19,db84624b151cbe06,Young Adult,54.65,54.65,0.0,12,0
One with You (Crossfire #5),15.71,4,In stock,https://books.toscrape.com/catalogue/one-with-you-crossfire-5_626/index.html,19,81ef44fcc5f454df,Add a comment,15.71,15.71,0.0,12,0
Poisonous (Max Revere Novels #3),26.8,3,In stock,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,19,abdd91e96515a617,Mystery,26.8,26.8,0.0,12,0
Psycho: Sanitarium (Psycho #1.5),36.97,5,In stock,https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html,19,b8d7b3f5c7a95d65,Horror,36.97,36.97,0.0,12,0
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,In stock,https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html,19,8976d9161c027142,Business,43.14,43.14,0.0,12,0
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,In stock,https://books.toscrape.com/catalogue/raspberry-pi-electronics-projects-for-the-evil-genius_630/index.html,19,ebf81a62e4798fd1,Default,49.67,49.67,0.0,12,0
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,In stock,https://books.toscrape.com/catalogue/snatched-how-a-drug-queen-went-undercover-for-the-dea-and-was-kidnapped-by-colombian-guerillas_631/index.html,19,f40fea200e0c644f,Nonfiction,21.21,21.21,0.0,12,0
Stars Above (The Lunar Chronicles #4.5),48.05,2,In stock,https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html,19,b63ea3f7a57ae099,Young Adult,48.05,48.05,0.0,12,0
The Children,11.88,3,In stock,https://books.toscrape.com/catalogue/the-children_633/index.html,19,64fd010bf8d15096,Add a comment,11.88,11.88,0.0,12,0
The Diary of a Young Girl,59.9,3,In stock,https://books.toscrape.com/catalogue/the-diary-of-a-young-girl_634/index.html,19,54fc03f1e1d355db,Nonfiction,59.9,59.9,0.0,12,0
The Dinner Party,56.54,2,In stock,https://books.toscrape.com/catalogue/the-dinner-party_635/index.html,19,c6ca293d4810e0d5,Fiction,56.54,56.54,0.0,12,0
The Epidemic (The Program 0.6),14.44,5,In stock,https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html,19,f732d7d18a91d2ba,Young Adult,14.44,14.44,0.0,12,0
